('166.131.131.6:4528', '80.239.144.76:54314'): 54 bytes
('80.239.144.76:64208', '81.131.131.6:4524'): 1712 bytes
('81.131.131.68:43690', '80.239.170.170:43690'): 54 bytes
('81.131.131.6:4515', '80.239.144.76:21'): 5298 bytes
('80.239.144.76:21', '81.131.131.6:4515'): 5821 bytes
('80.239.128.76:54314', '81.131.131.6:4528'): 1514 bytes
('80.239.144.76:64996', '81.131.131.6:64353'): 84 bytes
('80.239.144.76:51274', '81.131.131.6:4521'): 1572 bytes
('80.239.144.76:54439', '81.131.131.6:4531'): 25738 bytes
('81.131.131.6:43690', '80.239.144.76:43690'): 62 bytes
('80.239.144.76:21', '81.131.131.6:4389'): 84 bytes
('81.131.131.6:4527', '64.246.6.133:80'): 924 bytes
('80.239.144.76:53304', '81.131.131.6:4517'): 1863 bytes
('172.16.133.57:53807', '68.64.21.62:1853'): 17318420 bytes
('96.43.146.176:443', '172.16.133.82:61228'): 59114 bytes
('172.16.133.56:49514', '68.64.21.42:1853'): 501167 bytes
('68.64.21.62:1853', '172.16.133.57:53807'): 2444517 bytes
('96.43.146.176:443', '172.16.133.82:60073'): 39148 bytes
('172.16.133.49:58246', '68.64.21.41:1853'): 501092 bytes
('172.16.133.103:63406', '216.115.222.200:443'): 246 bytes
('172.16.133.43:57700', '172.16.139.250:5440'): 890 bytes
('68.64.21.41:1853', '172.16.133.60:63861'): 501794 bytes
('67.217.94.135:8200', '172.16.133.60:63862'): 46860 bytes
('67.217.94.156:8200', '172.16.133.53:55702'): 46860 bytes
('67.217.94.204:8200', '172.16.133.114:49321'): 46860 bytes
('172.16.133.53:49292', '172.16.139.250:5500'): 1740 bytes
('157.56.242.198:443', '172.16.133.57:60589'): 66335 bytes
('172.16.133.114:55270', '67.217.65.49:443'): 9282 bytes
('172.16.133.114:55272', '67.217.64.49:443'): 9282 bytes
('172.16.133.114:55273', '67.217.66.49:443'): 9282 bytes
('172.16.133.13:52976', '172.16.139.250:5440'): 1022 bytes
('68.64.21.44:1853', '172.16.133.114:49319'): 501916 bytes
('172.16.133.57:60589', '157.56.242.198:443'): 83239 bytes
('172.16.133.82:61238', '96.43.146.50:443'): 17281 bytes
('172.16.133.82:61240', '96.43.146.50:443'): 420 bytes
('172.16.133.99:56566', '67.217.78.32:1853'): 209037 bytes
('172.16.133.82:61236', '96.43.146.50:443'): 420 bytes
('172.16.133.82:61239', '96.43.146.50:443'): 420 bytes
('172.16.133.82:61237', '96.43.146.50:443'): 420 bytes
('96.43.146.22:443', '172.16.133.109:49451'): 217152 bytes
('172.16.133.109:49451', '96.43.146.22:443'): 16372 bytes
('68.64.21.45:1853', '172.16.133.47:51444'): 501550 bytes
('68.64.21.46:1853', '172.16.133.67:56707'): 210334 bytes
('96.43.146.50:443', '172.16.133.82:61247'): 27470 bytes
('68.64.21.36:1853', '172.16.133.37:55363'): 360086 bytes
('64.74.80.244:443', '172.16.133.85:51696'): 9342 bytes
('172.16.133.82:61247', '96.43.146.50:443'): 23964 bytes
('216.219.115.183:443', '172.16.133.85:51700'): 9342 bytes
('68.64.21.40:1853', '172.16.133.53:60838'): 501973 bytes
('172.16.133.114:49319', '68.64.21.44:1853'): 479791 bytes
('172.16.133.47:51444', '68.64.21.45:1853'): 501094 bytes
('172.16.133.118:56495', '68.64.21.45:1853'): 501000 bytes
('172.16.133.49:54982', '67.217.65.65:443'): 23121 bytes
('172.16.133.49:54984', '67.217.64.65:443'): 23187 bytes
('172.16.133.49:54985', '67.217.66.65:443'): 23187 bytes
('68.64.21.37:1853', '172.16.133.26:54654'): 501576 bytes
('172.16.133.39:55445', '67.217.78.36:1853'): 207200 bytes
('172.16.133.78:58865', '24.44.106.119:18131'): 17621 bytes
('172.16.133.78:62209', '128.119.195.145:38677'): 12413 bytes
('172.16.133.37:55363', '68.64.21.36:1853'): 359671 bytes
('172.16.133.113:55582', '172.16.139.250:5462'): 240 bytes
('172.16.133.113:56684', '172.16.139.250:5500'): 43964 bytes
('172.16.133.85:51035', '68.64.29.28:1853'): 331615 bytes
('172.16.133.60:63861', '68.64.21.41:1853'): 501000 bytes
('172.16.133.82:61249', '96.43.146.176:443'): 52073 bytes
('68.64.29.40:1853', '172.16.133.92:64264'): 502174 bytes
('67.217.78.32:1853', '172.16.133.99:56566'): 209296 bytes
('172.16.133.207:50477', '68.64.21.45:1853'): 501000 bytes
('172.16.133.75:58186', '157.56.241.150:443'): 18850 bytes
('172.16.133.99:51685', '216.115.216.44:443'): 9608 bytes
('172.16.133.99:51686', '216.219.115.17:443'): 9542 bytes
('172.16.133.99:51683', '64.74.80.15:443'): 9542 bytes
('68.64.21.42:1853', '172.16.133.56:49514'): 501930 bytes
('172.16.133.99:51687', '216.115.217.144:443'): 9542 bytes
('172.16.133.36:62603', '68.64.21.42:1853'): 500083 bytes
('172.16.133.36:65067', '216.115.219.126:443'): 258 bytes
('172.16.133.20:62286', '172.16.139.250:5440'): 1142 bytes
('68.64.21.45:1853', '172.16.133.118:56495'): 501544 bytes
('172.16.133.103:63407', '66.151.158.187:443'): 246 bytes
('172.16.133.103:63408', '216.219.112.250:443'): 246 bytes
('68.64.28.108:8200', '172.16.133.47:51445'): 46766 bytes
('68.64.28.70:8200', '172.16.133.49:58247'): 46766 bytes
('172.16.133.76:60548', '5.79.25.106:443'): 17859 bytes
('172.16.133.60:62038', '67.217.64.49:443'): 22098 bytes
('172.16.133.37:49741', '96.43.146.48:443'): 5344 bytes
('172.16.133.67:56707', '68.64.21.46:1853'): 210039 bytes
('172.16.133.82:61246', '96.43.146.50:443'): 420 bytes
('68.64.21.41:1853', '172.16.133.49:58246'): 501864 bytes
('172.16.133.99:55867', '96.43.146.176:443'): 22483 bytes
('67.217.78.36:1853', '172.16.133.39:55445'): 207458 bytes
